accident_no,surface_cond_desc
T20060003443,Dry
T20060003450,Dry
T20060003453,Dry
T20060003464,Dry
T20060003469,Dry
T20060003472,Dry
T20060003482,Dry
T20060003489,Dry
T20060003491,Dry
T20060003492,Dry
T20060003496,Dry
T20060003498,Dry
T20060003504,Dry
T20060003508,Dry
T20060003509,Dry
T20060003511,Dry
T20060003520,Dry
T20060003525,Wet
T20060003526,Dry
T20060003529,Dry
T20060003531,Dry
T20060003532,Dry
T20060003537,Dry
T20060003540,Dry
T20060003541,Dry
T20060003545,Dry
T20060003551,Dry
T20060003552,Dry
T20060003556,Dry
T20060003561,Dry
T20060003565,Dry
T20060003567,Dry
T20060003570,Dry
T20060003571,Dry
T20060003572,Dry
T20060003573,Dry
T20060003574,Dry
T20060003576,Dry
T20060003578,Dry
T20060003586,Dry
T20060003589,Dry
T20060003599,Dry
T20060003600,Dry
T20060003601,Dry
T20060003603,Dry
T20060003605,Dry
T20060003607,Dry
T20060003608,Dry
T20060003609,Dry
T20060003611,Dry
T20060003614,Dry
T20060003616,Dry
T20060003617,Dry
T20060003618,Dry
T20060003622,Dry
T20060003627,Dry
T20060003633,Dry
T20060003634,Dry
T20060003637,Dry
T20060003641,Dry
T20060003643,Dry
T20060003646,Dry
T20060003653,Dry
T20060003656,Dry
T20060003659,Dry
T20060003663,Dry
T20060003671,Dry
T20060003673,Dry
T20060003675,Dry
T20060003681,Unknown
T20060003684,Dry
T20060003690,Dry
T20060003693,Dry
T20060003694,Dry
T20060003699,Dry
T20060003705,Dry
T20060003707,Dry
T20060003713,Unknown
T20060003721,Dry
T20060003727,Dry
T20060003738,Dry
T20060003743,Dry
T20060003744,Dry
T20060003746,Dry
T20060003747,Dry
T20060003749,Dry
T20060003753,Dry
T20060003754,Dry
T20060003755,Dry
T20060003759,Dry
T20060003761,Dry
T20060003766,Dry
T20060003777,Dry
T20060003779,Dry
T20060003782,Dry
T20060003785,Dry
T20060003791,Wet
T20060003794,Dry
T20060003795,Dry
T20060003798,Dry
T20060003802,Dry
T20060003805,Dry
T20060003810,Dry
T20060003811,Dry
T20060003814,Dry
T20060003817,Wet
T20060003818,Dry
T20060003819,Dry
T20060003823,Dry
T20060003828,Dry
T20060003829,Dry
T20060003830,Dry
T20060003834,Wet
T20060003838,Dry
T20060003842,Wet
T20060003856,Wet
T20060003857,Dry
T20060003860,Dry
T20060003869,Dry
T20060003876,Wet
T20060003877,Wet
T20060003878,Wet
T20060003880,Wet
T20060003885,Wet
T20060003886,Wet
T20060003887,Wet
T20060003888,Dry
T20060003889,Wet
T20060003890,Wet
T20060003893,Wet
T20060003894,Wet
T20060003897,Wet
T20060003901,Wet
T20060003901,Muddy
T20060003911,Wet
T20060003917,Dry
T20060003920,Dry
T20060003925,Dry
T20060003932,Dry
T20060003945,Wet
T20060003946,Dry
T20060003947,Wet
T20060003953,Wet
T20060003954,Wet
T20060003955,Wet
T20060003956,Dry
T20060003964,Wet
T20060003967,Dry
T20060003970,Dry
T20060003975,Dry
T20060003981,Dry
T20060003994,Dry
T20060004005,Wet
T20060004013,Wet
T20060004015,Dry
T20060004018,Dry
T20060004021,Wet
T20060004024,Dry
T20060004029,Dry
T20060004038,Dry
T20060004039,Dry
T20060004040,Dry
T20060004041,Wet
T20060004048,Dry
T20060004059,Dry
T20060004061,Dry
T20060004066,Dry
T20060004068,Dry
T20060004079,Dry
T20060004096,Dry
T20060004103,Dry
T20060004113,Dry
T20060004118,Dry
T20060004120,Dry
T20060004123,Dry
T20060004125,Dry
T20060004129,Dry
T20060004130,Wet
T20060004131,Dry
T20060004133,Dry
T20060004138,Dry
T20060004143,Dry
T20060004144,Dry
T20060004145,Dry
T20060004152,Dry
T20060004156,Wet
T20060004158,Dry
T20060004159,Dry
T20060004161,Dry
T20060004168,Dry
T20060004176,Dry
T20060004179,Dry
T20060004197,Dry
T20060004198,Dry
T20060004199,Dry
T20060004202,Dry
T20060004203,Dry
T20060004216,Wet
T20060004220,Dry
T20060004221,Dry
T20060004222,Dry
T20060004228,Dry
T20060004230,Dry
T20060004233,Dry
T20060004234,Dry
T20060004240,Dry
T20060004243,Dry
T20060004252,Dry
T20060004255,Dry
T20060004256,Dry
T20060004260,Dry
T20060004271,Dry
T20060004274,Dry
T20060004278,Dry
T20060004285,Dry
T20060004298,Dry
T20060004303,Dry
T20060004310,Dry
T20060004311,Dry
T20060004314,Dry
T20060004319,Dry
T20060004320,Dry
T20060004327,Dry
T20060004334,Dry
T20060004339,Dry
T20060004342,Dry
T20060004346,Dry
T20060004347,Wet
T20060004348,Dry
T20060004350,Dry
T20060004351,Unknown
T20060004355,Dry
T20060004358,Dry
T20060004362,Dry
T20060004364,Dry
T20060004365,Wet
T20060004370,Dry
T20060004371,Dry
T20060004376,Dry
T20060004378,Dry
T20060004381,Dry
T20060004382,Dry
T20060004386,Dry
T20060004387,Dry
T20060004388,Dry
T20060004391,Dry
T20060004405,Dry
T20060004408,Dry
T20060004409,Dry
T20060004417,Dry
T20060004422,Dry
T20060004440,Dry
T20060004446,Dry
T20060004447,Wet
T20060004449,Dry
T20060004458,Dry
T20060004461,Dry
T20060004465,Dry
T20060004469,Dry
T20060004470,Dry
T20060004471,Dry
T20060004473,Dry
T20060004476,Dry
T20060004481,Dry
T20060004487,Dry
T20060004489,Dry
T20060004490,Dry
T20060004495,Dry
T20060004496,Wet
T20060004497,Dry
T20060004510,Dry
T20060004512,Dry
T20060004515,Dry
T20060004524,Wet
T20060004527,Dry
T20060004530,Dry
T20060004531,Dry
T20060004533,Dry
T20060004536,Dry
T20060004539,Dry
T20060004540,Dry
T20060004554,Dry
T20060004556,Dry
T20060004558,Wet
T20060004562,Dry
T20060004564,Dry
T20060004578,Dry
T20060004587,Dry
T20060004588,Dry
T20060004593,Dry
T20060004607,Dry
T20060004608,Dry
T20060004609,Dry
T20060004616,Dry
T20060004632,Dry
T20060004634,Dry
T20060004646,Dry
T20060004649,Wet
T20060004653,Dry
T20060004655,Dry
T20060004667,Dry
T20060004668,Dry
T20060004674,Dry
T20060004675,Dry
T20060004687,Dry
T20060004688,Dry
T20060004706,Wet
T20060004707,Dry
T20060004718,Dry
T20060004723,Dry
T20060004730,Dry
T20060004736,Dry
T20060004739,Dry
T20060004741,Dry
T20060004746,Dry
T20060004748,Dry
T20060004749,Dry
T20060004754,Dry
T20060004757,Dry
T20060004760,Dry
T20060004764,Dry
T20060004767,Dry
T20060004771,Dry
T20060004772,Dry
T20060004773,Dry
T20060004783,Dry
T20060004791,Dry
T20060004792,Dry
T20060004796,Dry
T20060004822,Dry
T20060004825,Dry
T20060004826,Dry
T20060004830,Wet
T20060004833,Dry
T20060004839,Dry
T20060004840,Dry
T20060004849,Dry
T20060004853,Dry
T20060004854,Wet
T20060004858,Dry
T20060004867,Dry
T20060004870,Dry
T20060004871,Dry
T20060004876,Dry
T20060004878,Dry
T20060004879,Dry
T20060004880,Dry
T20060004881,Dry
T20060004886,Dry
T20060004886,Wet
T20060004887,Dry
T20060004890,Dry
T20060004896,Dry
T20060004897,Dry
T20060004898,Dry
T20060004899,Dry
T20060004900,Dry
T20060004904,Dry
T20060004905,Wet
T20060004908,Dry
T20060004909,Dry
T20060004911,Dry
T20060004917,Dry
T20060004928,Dry
T20060004931,Dry
T20060004932,Dry
T20060004944,Dry
T20060004945,Dry
T20060004948,Dry
T20060004952,Dry
T20060004954,Dry
T20060004966,Dry
T20060004967,Dry
T20060004974,Dry
T20060004975,Dry
T20060004980,Dry
T20060004982,Dry
T20060004986,Dry
T20060004993,Dry
T20060005006,Dry
T20060005009,Dry
T20060005015,Dry
T20060005020,Dry
T20060005023,Dry
T20060005026,Dry
T20060005031,Dry
T20060005032,Dry
T20060005035,Dry
T20060005039,Dry
T20060005045,Dry
T20060005047,Dry
T20060005050,Dry
T20060005052,Dry
T20060005053,Dry
T20060005056,Dry
T20060005058,Dry
T20060005059,Dry
T20060005062,Dry
T20060005075,Dry
T20060005081,Dry
T20060005087,Dry
T20060005089,Dry
T20060005090,Dry
T20060005093,Dry
T20060005100,Dry
T20060005107,Dry
T20060005133,Dry
T20060005145,Dry
T20060005147,Dry
T20060005148,Dry
T20060005156,Dry
T20060005159,Dry
T20060005169,Dry
T20060005175,Dry
T20060005180,Dry
T20060005183,Dry
T20060005186,Dry
T20060005190,Dry
T20060005192,Dry
T20060005193,Dry
T20060005202,Dry
T20060005218,Dry
T20060005226,Dry
T20060005229,Dry
T20060005233,Dry
T20060005235,Dry
T20060005237,Dry
T20060005251,Dry
T20060005252,Dry
T20060005257,Dry
T20060005261,Unknown
T20060005264,Dry
T20060005265,Dry
T20060005268,Dry
T20060005278,Dry
T20060005279,Dry
T20060005280,Dry
T20060005281,Dry
T20060005285,Dry
T20060005286,Wet
T20060005288,Wet
T20060005289,Dry
T20060005292,Wet
T20060005293,Dry
T20060005296,Dry
T20060005297,Dry
T20060005304,Dry
T20060005305,Wet
T20060005307,Dry
T20060005308,Dry
T20060005313,Dry
T20060005316,Dry
T20060005317,Dry
T20060005318,Wet
T20060005321,Dry
T20060005325,Dry
T20060005329,Dry
T20060005331,Dry
T20060005332,Dry
T20060005333,Dry
T20060005334,Dry
T20060005335,Dry
T20060005341,Dry
T20060005342,Dry
T20060005344,Dry
