accident_no,atmosph_cond_desc
T20060004220,Clear
T20060004221,Clear
T20060004222,Clear
T20060004228,Clear
T20060004230,Clear
T20060004233,Clear
T20060004234,Clear
T20060004240,Clear
T20060004243,Clear
T20060004252,Clear
T20060004255,Clear
T20060004256,Clear
T20060004260,Clear
T20060004271,Clear
T20060004274,Clear
T20060004278,Clear
T20060004285,Clear
T20060004298,Clear
T20060004303,Clear
T20060004310,Clear
T20060004311,Clear
T20060004314,Clear
T20060004319,Clear
T20060004320,Clear
T20060004327,Clear
T20060004334,Not known
T20060004339,Clear
T20060004342,Clear
T20060004346,Clear
T20060004347,Clear
T20060004348,Clear
T20060004350,Clear
T20060004351,Not known
T20060004355,Clear
T20060004358,Clear
T20060004362,Clear
T20060004364,Clear
T20060004365,Raining
T20060004370,Clear
T20060004371,Clear
T20060004376,Clear
T20060004378,Clear
T20060004381,Clear
T20060004382,Clear
T20060004386,Clear
T20060004387,Clear
T20060004388,Clear
T20060004391,Clear
T20060004405,Clear
T20060004408,Clear
T20060004409,Clear
T20060004417,Clear
T20060004422,Clear
T20060004440,Clear
T20060004446,Clear
T20060004447,Raining
T20060004447,Fog
T20060004449,Clear
T20060004458,Clear
T20060004461,Clear
T20060004465,Clear
T20060004469,Clear
T20060004470,Clear
T20060004471,Clear
T20060004473,Clear
T20060004476,Clear
T20060004481,Clear
T20060004487,Clear
T20060004489,Clear
T20060004490,Clear
T20060004495,Clear
T20060004496,Not known
T20060004497,Clear
T20060004510,Clear
T20060004512,Clear
T20060004515,Clear
T20060004524,Raining
T20060004527,Clear
T20060004530,Clear
T20060004531,Clear
T20060004533,Clear
T20060004536,Clear
T20060004539,Clear
T20060004540,Clear
T20060004554,Clear
T20060004556,Clear
T20060004558,Raining
T20060004558,Strong winds
T20060004562,Clear
T20060004564,Clear
T20060004578,Clear
T20060004587,Clear
T20060004588,Clear
T20060004593,Clear
T20060004607,Clear
T20060004608,Clear
T20060004609,Clear
T20060004616,Clear
T20060004632,Clear
T20060004634,Clear
T20060004646,Clear
T20060004649,Raining
T20060004653,Clear
T20060004655,Clear
T20060004667,Clear
T20060004668,Clear
T20060004674,Clear
T20060004675,Clear
T20060004687,Clear
T20060004688,Clear
T20060004706,Clear
T20060004707,Clear
T20060004718,Clear
T20060004723,Clear
T20060004730,Clear
T20060004736,Clear
T20060004739,Clear
T20060004741,Clear
T20060004746,Clear
T20060004748,Clear
T20060004749,Clear
T20060004754,Clear
T20060004757,Clear
T20060004760,Clear
T20060004764,Clear
T20060004767,Clear
T20060004771,Clear
T20060004772,Clear
T20060004773,Clear
T20060004783,Clear
T20060004791,Clear
T20060004792,Clear
T20060004796,Clear
T20060004822,Clear
T20060004825,Clear
T20060004826,Fog
T20060004830,Raining
T20060004833,Clear
T20060004839,Clear
T20060004840,Clear
T20060004849,Clear
T20060004853,Clear
T20060004854,Raining
T20060004858,Clear
T20060004867,Clear
T20060004870,Clear
T20060004871,Clear
T20060004876,Clear
T20060004878,Clear
T20060004879,Clear
T20060004880,Clear
T20060004881,Clear
T20060004886,Clear
T20060004887,Clear
T20060004890,Clear
T20060004896,Clear
T20060004897,Clear
T20060004898,Clear
T20060004899,Clear
T20060004899,Strong winds
T20060004900,Clear
T20060004904,Clear
T20060004905,Raining
T20060004908,Clear
T20060004909,Clear
T20060004911,Clear
T20060004917,Clear
T20060004928,Clear
T20060004931,Clear
T20060004932,Clear
T20060004944,Clear
T20060004945,Clear
T20060004948,Clear
T20060004952,Clear
T20060004954,Clear
T20060004966,Clear
T20060004967,Clear
T20060004974,Clear
T20060004975,Clear
T20060004980,Clear
T20060004982,Clear
T20060004986,Clear
T20060004993,Clear
T20060005006,Clear
T20060005009,Clear
T20060005015,Clear
T20060005020,Clear
T20060005023,Clear
T20060005026,Clear
T20060005031,Clear
T20060005032,Clear
T20060005035,Clear
T20060005039,Clear
T20060005045,Clear
T20060005047,Clear
T20060005050,Clear
T20060005052,Clear
T20060005053,Clear
T20060005056,Clear
T20060005058,Clear
T20060005059,Clear
T20060005062,Clear
T20060005075,Clear
T20060005081,Clear
T20060005087,Clear
T20060005089,Clear
T20060005090,Clear
T20060005093,Clear
T20060005100,Clear
T20060005107,Clear
T20060005133,Clear
T20060005145,Clear
T20060005147,Clear
